id,formula,formula_latex,family,subfamily,tc_max,tc_max_conditions,tc_ambient,discovery_year,total_papers,status,pairing_symmetry,structure_phase,ambient_sc,is_topological,is_unconventional,is_2d_or_interface,has_competing_order
mat:smfeaso0.85f0.15,SmFeAsO0.85F0.15,,iron_based,,54,"powder, susceptibility, arXiv:0911.5420, confirmed by 2 papers",52,2008,12,active_research,,,true,,true,,true
"mat:smfeas(o,f)","SmFeAs(O,F)",,iron_based,,54,"single_crystal, resistivity, arXiv:1709.01777, confirmed by 3 papers",54,2010,5,active_research,,,true,,true,true,false
mat:al4h,Al4H,,,,54,"ambient, arXiv:2301.09032, confirmed by 2 papers",54,2023,2,active_research,,,true,,,,false
mat:gdfeaso1,GdFeAsO1-delta,,iron_based,,53.5,"resistivity, arXiv:0804.3727",53.5,2008,1,active_research,,,true,,true,,false
mat:y4h15,Y4H15,,hydride,,53.099998474121094,"ambient, arXiv:2504.21101",53.099998474121094,2025,1,active_research,s-wave,,true,,,,false
mat:tmba2cu3o6.51,TmBa2Cu3O6.51,,cuprate,,53,"ambient, powder, susceptibility, arXiv:cond-mat/9712035",53,1997,1,active_research,,123,true,,true,,false
mat:smfeaso0.8f0.2,SmFeAsO0.8F0.2,,iron_based,,53,"polycrystal, arXiv:0812.1141, confirmed by 3 papers",53,2008,13,active_research,s-wave,1111,true,,true,,true
mat:smo0.6f0.4feas,SmO0.6F0.4FeAs,,iron_based,,53,"polycrystal, resistivity, arXiv:0808.3666",53,2008,1,active_research,,,true,,true,,false
mat:(y0.72pr0.28)ba2cu3o7,(Y0.72Pr0.28)Ba2Cu3O7-δ,,cuprate,,53,"single_crystal, arXiv:2510.15078",,2025,1,active_research,,cuprate_123,,,true,,false
mat:ndfeaso0.6,NdFeAsO0.6,,iron_based,,53,"ambient, polycrystal, susceptibility, arXiv:0806.3238",53,2008,1,active_research,,,true,,true,,false
mat:smfeaso0.60f0.35,SmFeAsO0.60F0.35,,iron_based,,53,"single_crystal, susceptibility, arXiv:1005.4165, confirmed by 2 papers",53,2009,2,active_research,,1111,true,,true,,false
mat:ndfeaso0.9f0.1,NdFeAsO0.9F0.1,,iron_based,,53,"single_crystal, ARPES, arXiv:0807.0815, confirmed by 2 papers",51,2008,7,active_research,s-wave,,true,,true,,false
mat:k2incuh6,K2InCuH6,,hydride,,53,"ambient, arXiv:2403.13496",53,2024,1,active_research,,,true,,,,false
mat:y0.9ca0.1ba2cu2.7co0.3o7,Y0.9Ca0.1Ba2Cu2.7Co0.3O7,,cuprate,,53,"ambient, resistivity, arXiv:cond-mat/0412152",53,2004,1,active_research,,cuprate_123,true,,true,,false
mat:smfeaso1-xfy,SmFeAsO1-xFy,,iron_based,,53,"single_crystal, susceptibility, arXiv:0806.0337",53,2008,1,active_research,,,true,,true,,false
mat:k2licuh6,K2LiCuH6,,hydride,,53,"ambient, arXiv:2508.10912, confirmed by 2 papers",53,2024,2,active_research,,,true,,,,false
mat:gdo(f)feas,GdO(F)FeAs,,iron_based,,53,"polycrystal, arXiv:1205.4125, confirmed by 2 papers",50.5,2012,2,active_research,,,true,,true,,false
mat:ca0.4pr0.6feasf,Ca0.4Pr0.6FeAsF,,iron_based,,52.79999923706055,"polycrystal, resistivity, arXiv:0812.1192",52.79999923706055,2008,1,active_research,,,true,,true,,false
mat:hte,HTe,,,,52.72999954223633,"P=300 GPa, arXiv:1802.06234",,2018,1,active_research,s-wave,,,,true,,false
mat:gdo0.88f0.12feas,GdO0.88F0.12FeAs,,iron_based,,52.5,"polycrystal, resistivity, arXiv:1012.4440, confirmed by 2 papers",52.5,2010,2,active_research,,1111,true,,true,,false
mat:smfeaso0.85,SmFeAsO0.85,,iron_based,,52.400001525878906,"susceptibility, arXiv:0805.2794, confirmed by 2 papers",52.400001525878906,2008,9,active_research,d-wave,1111,true,,true,true,false
mat:prfeaso1-xfx,PrFeAsO1-xFx,,iron_based,,52.29999923706055,"resistivity, arXiv:2602.07481, confirmed by 2 papers",52.29999923706055,2009,3,active_research,,,true,,true,,false
mat:dyfeaso1,DyFeAsO1-delta,,iron_based,,52.20000076293945,arXiv:0809.3582,,2008,1,active_research,,,,,true,,false
mat:smfeaso1fx,SmFeAsO1-xFx,,iron_based,,52.099998474121094,"polycrystal, resistivity, arXiv:0811.1601, confirmed by 2 papers",52.099998474121094,2008,2,active_research,,,true,,true,,false
mat:sm0.7th0.3ofeas,Sm0.7Th0.3OFeAs,,iron_based,,52,"polycrystal, resistivity, arXiv:1612.04303, confirmed by 2 papers",52,2016,2,active_research,,1111,true,,true,,false
mat:y0.85ca0.15ba2cu3o6.3,Y0.85Ca0.15Ba2Cu3O6.3,,cuprate,,52,"ambient, polycrystal, resistivity, arXiv:cond-mat/0403230",52,2004,1,active_research,,,true,,true,,false
mat:ndfeaso1,NdFeAsO1-d,,iron_based,,52,"polycrystal, resistivity, arXiv:1003.5039",,2008,2,active_research,,,,,true,,false
mat:pr[o1-xfx]feas,Pr[O1-xFx]FeAs,,iron_based,,52,"resistivity, arXiv:0803.4283, confirmed by 2 papers",,2008,2,active_research,,,,,true,,false
mat:csfe2se2,CsFe2Se2,,iron_based,,52,"arXiv:1405.5677, confirmed by 2 papers",28.600000381469727,2010,2,active_research,,,true,,true,,false
mat:tb0.8th0.2feaso,Tb0.8Th0.2FeAsO,,iron_based,,52,"polycrystal, resistivity, arXiv:0806.1675",52,2008,1,active_research,,,true,,true,,true
mat:lafeaso1-xhx,LaFeAsO1-xHx,,iron_based,,52,"P=6 GPa, arXiv:1501.04544, confirmed by 3 papers",36,2012,7,active_research,s_pm,,true,,true,,true
mat:sr1-xndxfeasf,Sr1-xNdxFeAsF,,iron_based,,52,"polycrystal, resistivity, arXiv:0908.3285",,2009,1,active_research,,,,,true,,true
mat:smo0.65f0.35feas,SmO0.65F0.35FeAs,,iron_based,,52,"wire, arXiv:0806.2451",52,2008,1,active_research,,,true,,true,,false
mat:(sm0.95la0.05)feas(o0.85f0.15),(Sm0.95La0.05)FeAs(O0.85F0.15),,iron_based,,52,"polycrystal, susceptibility, arXiv:0909.3904",52,2009,1,active_research,,1111,true,,true,,false
mat:smfeas(o0.85f0.15),SmFeAs(O0.85F0.15),,iron_based,,52,"susceptibility, arXiv:0807.1688, confirmed by 2 papers",52,2008,3,active_research,,,true,,false,,false
mat:ndo0.82f0.18feas,NdO0.82F0.18FeAs,,iron_based,,52,"polycrystal, resistivity, arXiv:0805.2415, confirmed by 2 papers",52,2008,3,active_research,,,true,,true,,false
mat:csxfe2se2,CsxFe2Se2,,iron_based,,52,arXiv:1101.0051,52,2010,1,active_research,,,true,,true,,false
mat:tlba2cuo4,TlBa2CuO4+δ,,cuprate,,52,"ambient, arXiv:cond-mat/0306680",52,2003,1,active_research,,Tl-1201,true,,,,false
mat:tlba1.2la1.8cuo5,TlBa1.2La1.8CuO5,,cuprate,,52,"ambient, arXiv:cond-mat/0306680",52,2003,1,active_research,,Tl-1201,true,,,,false
mat:sm0.95la0.05feaso0.85f0.15,Sm0.95La0.05FeAsO0.85F0.15,,iron_based,,52,"polycrystal, susceptibility, arXiv:0807.2833",52,2008,1,active_research,,iron_pnictide_1111,true,,true,true,false
mat:nd[o1-xfx]feas,Nd[O1-xFx]FeAs,,iron_based,,51.900001525878906,"resistivity, arXiv:0803.4234",,2008,1,active_research,,,,,true,,false
mat:ndfeaso0.82f0.18,NdFeAsO0.82F0.18,,iron_based,,51.5,"ambient, single_crystal, resistivity, arXiv:0807.1380, confirmed by 4 papers",51.5,2008,4,active_research,,,true,,true,,false
mat:lu4h15,Lu4H15,,hydride,,51.29999923706055,"ambient, arXiv:2504.21101",51.29999923706055,2025,1,active_research,s-wave,,true,,,,false
mat:tbfeaso1-xfx,TbFeAsO1-xFx,,iron_based,,51,arXiv:0908.1167,,2009,1,active_research,,,,,true,,false
mat:ca0.86pr0.14fe2as2,Ca0.86Pr0.14Fe2As2,,iron_based,,51,"P=1.9 GPa, single_crystal, resistivity, arXiv:1310.3842, confirmed by 2 papers",45,2013,2,active_research,,,true,,true,,false
mat:ndfeaso0.85,NdFeAsO0.85,,iron_based,,51,"powder, muSR, arXiv:0805.1923, confirmed by 2 papers",51,2008,5,active_research,,,true,,true,,false
mat:nd(o0.89f0.11)feas,Nd(O0.89F0.11)FeAs,,iron_based,,51,"polycrystal, resistivity, arXiv:0805.4445",51,2008,1,active_research,,,true,,true,,true
mat:ndfeaso0.83,NdFeAsO0.83,,iron_based,,51,"polycrystal, susceptibility, arXiv:0806.3821",51,2008,1,active_research,,,true,,true,,false
mat:hg2(ba0.6sr0.4)2(y0.80ca0.20)cu2o8,Hg2(Ba0.6Sr0.4)2(Y0.80Ca0.20)Cu2O8-d,,cuprate,,51,"P=3.5 GPa, polycrystal, susceptibility, arXiv:cond-mat/0304373",,2003,1,active_research,,2212,false,,true,,false
mat:ndfeaso0.94f0.06,NdFeAsO0.94F0.06,,iron_based,,51,"polycrystalline, susceptibility, arXiv:0807.0467, confirmed by 2 papers",51,2008,2,active_research,,,true,,true,true,false
mat:gdfeaso0.88,GdFeAsO0.88,,iron_based,,50.5,"polycrystal, resistivity, arXiv:1211.0257",50.5,2012,1,active_research,,,true,,true,,false
mat:tm4h15,Tm4H15,,hydride,,50.400001525878906,"ambient, arXiv:2504.21101",50.400001525878906,2025,1,active_research,s-wave,,true,,,,false
mat:hofeaso1,HoFeAsO1-delta,,iron_based,,50.29999923706055,arXiv:0809.3582,,2008,1,active_research,,,,,true,,false
mat:sm0.7th0.3feaso,Sm0.7Th0.3FeAsO,,iron_based,,50,"polycrystal, susceptibility, arXiv:1006.0126",50,2010,1,active_research,,,true,,true,,false
mat:prfeaso0.7f0.12,PrFeAsO0.7F0.12,,iron_based,,50,"polycrystal, resistivity, arXiv:0808.2695",50,2008,1,active_research,,,true,,false,,false
mat:prfeaso0.9f0.1,PrFeAsO0.9F0.1,,iron_based,,50,"ambient, polycrystal, resistivity, arXiv:1310.2731, confirmed by 3 papers",50,2011,3,active_research,,1111,true,,true,,false
mat:cub1.75c0.25,CuB1.75C0.25,,,,50,"ambient, arXiv:cond-mat/0104548",50,2001,1,active_research,,,true,,,,false
mat:cualo2,CuAlO2,,,,50,"arXiv:1107.2477, confirmed by 3 papers",50,2011,4,active_research,,delafossite,true,,,,false
mat:ndfeaso1-xfx,NdFeAsO1-xFx,,iron_based,,50,"single_crystal, arXiv:1504.04045, confirmed by 3 papers",50,2008,4,active_research,,,true,,true,,false
mat:(li1-xfex)ohfe1-yse,(Li1-xFex)OHFe1-ySe,,iron_based,,50,"P=12.5 GPa, single_crystal, resistivity, arXiv:1707.06735, confirmed by 2 papers",42,2017,3,active_research,,,true,,true,,false
mat:bab3c3,BaB3C3,,,,50,"P=30 GPa, arXiv:2110.05333",,2021,1,active_research,,clathrate,false,,,,false
mat:sm0.85th0.15feaso,Sm0.85Th0.15FeAsO,,iron_based,,50,"polycrystal, susceptibility, arXiv:1006.0126",50,2010,1,active_research,,,true,,true,,false
mat:y0.95la0.05feaso1,Y0.95La0.05FeAsO1-y,,iron_based,,50,"polycrystal, susceptibility, arXiv:1207.1185",50,2012,1,active_research,s_pm,1111,true,,true,,true
mat:ndo0.88f0.12feas,NdO0.88F0.12FeAs,,iron_based,,50,"resistivity, arXiv:0803.4384",50,2008,1,active_research,,,true,,true,,false
mat:mg/mgo,Mg/MgO,,,,50,"susceptibility, arXiv:1205.2981",,2012,1,active_research,,,,,,true,false
mat:fese/sto(001),FeSe/STO(001),,iron_based,,50,"thin_film, ARPES, arXiv:1512.01949",,2015,1,active_research,,,,,true,true,false
mat:ndfeaso0.80f0.20,NdFeAsO0.80F0.20,,iron_based,,50,"polycrystal, resistivity, arXiv:0806.2195",50,2008,1,active_research,,,true,,true,,false
mat:prfeaso0.6f0.12,PrFeAsO0.6F0.12,,iron_based,,50,"polycrystal, resistivity, arXiv:0807.3833, confirmed by 2 papers",50,2008,2,active_research,,,true,,false,,false
mat:sm0.92th0.08feaso,Sm0.92Th0.08FeAsO,,iron_based,,50,"polycrystal, susceptibility, arXiv:1006.0126",50,2010,1,active_research,,,true,,true,,false
mat:ln3ni2o7,Ln3Ni2O7,,nickelate,,50,"ambient, thin_film, arXiv:2508.18107",50,2025,1,active_research,,n=2 RP,true,,true,,false
mat:prfeaso0.5fy,PrFeAsO0.5Fy,,iron_based,,50,"polycrystal, resistivity, arXiv:0808.2695",50,2008,1,active_research,,,true,,false,,false
mat:ybco/ybcu3-xcoxo7,YBCO/YBCu3-xCoxO7+δ,,cuprate,,50,"ambient, thin_film, arXiv:cond-mat/9803361",50,1998,1,active_research,,,true,,true,true,false
mat:hg2ba2ycu2o8,Hg2Ba2YCu2O8-d,,cuprate,,50,"P=20 GPa, arXiv:cond-mat/0405143",,2004,1,active_research,,cuprate_2212,false,,true,,false
mat:lafeaso,LaFeAsO,,iron_based,,50,"P=1.5 GPa, resistivity, arXiv:0809.4702",,2008,3,active_research,,,,,true,,false
mat:smo0.5f0.5feas,SmO0.5F0.5FeAs,,iron_based,,50,"polycrystal, resistivity, arXiv:0804.2105",50,2008,1,active_research,,,true,,true,,true
mat:sr2iro4,Sr2IrO4,,,,50,"STM, arXiv:1506.06557",50,2012,5,active_research,,,true,true,true,true,false
mat:ndfeaso1fx,NdFeAsO1-xFx,,iron_based,,50,"single_crystal, arXiv:1504.04045",50,2015,1,active_research,,,true,,,,false
mat:(tba)0.3fese,(TBA)0.3FeSe,,iron_based,,49.79999923706055,"single_crystal, muSR, arXiv:2410.04781",49.79999923706055,2024,1,active_research,,,true,,true,,false
mat:yba2cu3o6.45,YBa2Cu3O6.45,,cuprate,,49.5,"P=1.1 GPa, polycrystal, muSR, arXiv:1107.1341, confirmed by 2 papers",48,2001,10,active_research,d-wave,cuprate_123,true,,true,,true
mat:er4h15,Er4H15,,hydride,,49.29999923706055,"ambient, arXiv:2504.21101",49.29999923706055,2025,1,active_research,s-wave,,true,,,,false
mat:prxca1-xfe2as2,PrxCa1-xFe2As2,,iron_based,,49,"single_crystal, resistivity, arXiv:1107.2307, confirmed by 2 papers",48,2011,2,active_research,,,true,,true,,false
mat:cafe2as2,CaFe2As2,,iron_based,,49,"single_crystal, arXiv:1309.0034, confirmed by 2 papers",49,2008,14,active_research,,,true,true,true,true,true
mat:sm0.8u0.2feaso,Sm0.8U0.2FeAsO,,iron_based,,49,"polycrystal, resistivity, arXiv:1302.5155",49,2013,1,active_research,,,true,,true,,false
mat:(ca1-xprx)fe2as2,(Ca1-xPrx)Fe2As2,,iron_based,,49,"single_crystal, susceptibility, arXiv:1308.3129",49,2013,1,active_research,,,true,,true,,false
mat:kfese,KFeSe,,iron_based,,49,arXiv:2601.06083,,2025,1,active_research,,,,,,,false
mat:(ca1-xrx)fe2as2,(Ca1-xRx)Fe2As2,,iron_based,,49,"single_crystal, resistivity, arXiv:1602.04266",,2016,1,active_research,,,,,true,,false
mat:ndfeaso0.85f0.15,NdFeAsO0.85F0.15,,iron_based,,49,"powder, susceptibility, arXiv:1106.0047, confirmed by 2 papers",49,2008,3,active_research,,,true,,true,,false
mat:dy4h15,Dy4H15,,hydride,,48.900001525878906,"ambient, arXiv:2504.21101",48.900001525878906,2025,1,active_research,s-wave,,true,,,,false
mat:ho4h15,Ho4H15,,hydride,,48.900001525878906,"ambient, arXiv:2504.21101",48.900001525878906,2025,1,active_research,s-wave,,true,,,,false
mat:k0.8feyse2,K0.8FeySe2,,iron_based,,48.70000076293945,arXiv:2601.06083,,2025,1,active_research,,,,,,,false
mat:tb4h15,Tb4H15,,hydride,,48.599998474121094,"ambient, arXiv:2504.21101",48.599998474121094,2025,1,active_research,s-wave,,true,,,,false
mat:ce0.6y0.4feaso0.8f0.2,Ce0.6Y0.4FeAsO0.8F0.2,,iron_based,,48.599998474121094,arXiv:1310.4920,,2013,1,active_research,,,,,true,,false
mat:tbfeaso1,TbFeAsO1-x,,iron_based,,48.5,"arXiv:0809.3582, confirmed by 2 papers",,2008,2,active_research,,,,,true,,false
"mat:(la,pr,sm)3ni2o7","(La,Pr,Sm)3Ni2O7",,nickelate,,48,"thin_film, ARPES, arXiv:2604.08430",48,2025,2,active_research,,,true,,true,,false
mat:pr0.4y0.6ba2cu3o7,Pr0.4Y0.6Ba2Cu3O7-δ,,cuprate,,48,"ambient, single_crystal, susceptibility, arXiv:cond-mat/0005190, confirmed by 2 papers",48,1997,3,active_research,,cuprate_123,true,,true,,false
mat:cab3c3,CaB3C3,,,,48,"ambient, arXiv:2110.05333",48,2021,1,active_research,,clathrate,true,,,,false
mat:sm(o0.7f0.3)feas,Sm(O0.7F0.3)FeAs,,iron_based,,48,"ambient, polycrystal, resistivity, arXiv:0804.1582",48,2008,1,active_research,,,true,,true,true,false
mat:ndfeaso0.86f0.14,NdFeAsO0.86F0.14,,iron_based,,48,"powder, susceptibility, arXiv:0905.0138, confirmed by 2 papers",48,2008,2,active_research,,,true,,true,,false
mat:nd0.99ca0.01feaso0.8f0.2,Nd0.99Ca0.01FeAsO0.8F0.2,,iron_based,,48,"polycrystal, arXiv:1901.10872",,2019,1,active_research,,,,,true,,false
mat:cab2,CaB2,,,,48,"ambient, arXiv:0906.2613, confirmed by 4 papers",48,2009,4,active_research,,,true,,,true,false
mat:smfeas(o1-xhx),SmFeAs(O1-xHx),,iron_based,,48,"thin_film, susceptibility, arXiv:1903.11819",48,2019,1,active_research,,,true,,true,true,false
mat:1ucfese/svo/sto,1UCFeSe/SVO/STO,,iron_based,,48,"thin_film, ARPES, arXiv:2407.09880",,2024,1,active_research,,,,,,true,false
mat:bi2sr2ca0.57pr0.43cu2o8,Bi2Sr2Ca0.57Pr0.43Cu2O8,,cuprate,,48,"ambient, single_crystal, arXiv:cond-mat/0203154, confirmed by 2 papers",48,2002,2,active_research,,,true,,true,,false
mat:prfeaso0.60f0.12,PrFeAsO0.60F0.12,,iron_based,,48,"polycrystal, susceptibility, arXiv:1304.5978",48,2013,1,active_research,,,true,,true,,false
mat:prxca1fe2as2,PrxCa1-xFe2As2,,iron_based,,48,"resistivity, arXiv:1301.4942",48,2013,1,active_research,,,true,,,,false
mat:c2s3h4,C2S3H4,,,,47.43899917602539,"P=300 GPa, arXiv:2111.03276",,2021,1,active_research,,,,,,,false
mat:yba2cu3o6.44,YBa2Cu3O6.44,,cuprate,,47.400001525878906,"single_crystal, susceptibility, arXiv:1406.1595, confirmed by 2 papers",47.400001525878906,2014,2,active_research,,,true,,true,,true
"mat:ca4(mg,ti)3fe2as2oy","Ca4(Mg,Ti)3Fe2As2Oy",,iron_based,,47.400001525878906,"P=0.5 GPa, polycrystal, resistivity, arXiv:1009.5491",47.29999923706055,2010,1,active_research,,,true,,true,,false
mat:(ca1-xlax)feash,(Ca1-xLax)FeAsH,,iron_based,,47.400001525878906,"resistivity, arXiv:1401.0097",,2013,1,active_research,,,,,true,,false
mat:gdsr2ru0.9cu2.1o8,GdSr2Ru0.9Cu2.1O8,,cuprate,,47.20000076293945,"ambient, polycrystal, resistivity, arXiv:cond-mat/0303287",47.20000076293945,2003,1,active_research,,,true,,true,,false
mat:hi,HI,,,,47,"P=150 GPa, arXiv:1708.04095",,2017,1,active_research,,,false,,,,false
mat:ca0.900la0.100fe(as0.94sb0.06)2,Ca0.900La0.100Fe(As0.94Sb0.06)2,,iron_based,,47,"single_crystal, susceptibility, arXiv:1702.02672",,2017,1,active_research,,,,,true,,false
mat:ca1-xlaxfe(as1-ysby)2,Ca1-xLaxFe(As1-ySby)2,,iron_based,,47,"single_crystal, susceptibility, arXiv:1408.4197",47,2014,1,active_research,,,true,,true,,false
mat:sm0.9u0.1feaso,Sm0.9U0.1FeAsO,,iron_based,,47,"polycrystal, resistivity, arXiv:1302.5155",47,2013,1,active_research,,1111-type,true,,true,,false
mat:prfeaso0.8f0.2,PrFeAsO0.8F0.2,,iron_based,,47,"resistivity, arXiv:1308.3557",47,2013,1,active_research,,,true,,true,,false
mat:ca1-xrxfe2as2,Ca1-xRxFe2As2,,iron_based,,47,"ambient, single_crystal, resistivity, arXiv:1105.4798",47,2011,1,active_research,,,true,,true,,false
mat:smfeaso(0.91)f(0.09),SmFeAsO(0.91)F(0.09),,iron_based,,47,arXiv:1509.03451,47,2015,1,active_research,,,true,,true,,true
mat:ca4(mg0.25ti0.75)3fe2as2o8,Ca4(Mg0.25Ti0.75)3Fe2As2O8-y,,iron_based,,47,"polycrystal, resistivity, arXiv:1210.5914",47,2012,1,active_research,,n=3 perovskite-type,true,,true,,false
mat:prfeaso0.85f0.15,PrFeAsO0.85F0.15,,iron_based,,47,"polycrystal, susceptibility, arXiv:0907.1308, confirmed by 2 papers",47,2008,4,active_research,,,true,,true,,false
mat:pr0.5ca0.5ba2cu3o7,Pr0.5Ca0.5Ba2Cu3O7-δ,,cuprate,,47,"ambient, thin_film, resistivity, arXiv:cond-mat/0409250, confirmed by 2 papers",47,1998,2,active_research,,,true,,true,true,false
mat:y1-xcaxsrbacu2.6al0.4o6,Y1-xCaxSrBaCu2.6Al0.4O6+z,,cuprate,,47,"ambient, arXiv:cond-mat/9703100",47,1997,1,active_research,,,true,,true,,false
"mat:ndfeas(o,f)","NdFeAs(O,F)",,iron_based,,47,"thin_film, resistivity, arXiv:1712.05966, confirmed by 2 papers",46,2010,8,active_research,,1111,true,,true,,false
mat:yfeaso1,YFeAsO1-delta,,iron_based,,46.5,arXiv:0809.3582,,2008,1,active_research,,,,,true,,false
mat:ybacuo(5%zn),YBaCuO(5%Zn),,cuprate,,46.400001525878906,"ambient, arXiv:cond-mat/0301559, confirmed by 2 papers",46.400001525878906,2003,2,active_research,,cuprate_123,true,,true,true,false
mat:na2agh6,Na2AgH6,,hydride,,46.099998474121094,"ambient, arXiv:2403.13496",46.099998474121094,2024,1,active_research,,,true,,,,false
mat:smfeaso(0.8)f(0.2),SmFeAsO(0.8)F(0.2),,iron_based,,46,"single_crystal, susceptibility, arXiv:0811.4047",,2008,1,active_research,,,,,true,,false
mat:feh5,FeH5,,,,46,arXiv:1711.11352,,2017,1,active_research,,,false,,false,,false
mat:feh6,FeH6,,,,46,arXiv:1711.11352,,2017,1,active_research,,,false,,false,,false
"mat:tbfeas(o,f)","TbFeAs(O,F)",,iron_based,,46,"P=11 GPa, arXiv:0806.0926",,2008,1,active_research,,,false,,true,,false
mat:ndfeaso(0.8)f(0.2),NdFeAsO(0.8)F(0.2),,iron_based,,46,"single_crystal, susceptibility, arXiv:0811.4047",,2008,1,active_research,,,,,true,,false
mat:ndfeas0.95sb0.05o0.8f0.2,NdFeAs0.95Sb0.05O0.8F0.2,,iron_based,,46,"resistivity, arXiv:1901.00797",46,2019,1,active_research,,,true,,true,,false
mat:na2licuh6,Na2LiCuH6,,hydride,,45.900001525878906,"ambient, arXiv:2403.13496",45.900001525878906,2024,1,active_research,,,true,,,,false
mat:prfeaso0.857,PrFeAsO0.857,,iron_based,,45.29999923706055,"polycrystal, resistivity, arXiv:1101.0636",45.29999923706055,2011,1,active_research,,,true,,true,,false
mat:la2.91sr0.09ni2o7,La2.91Sr0.09Ni2O7,,nickelate,,45.29999923706055,"ambient, thin_film, resistivity, arXiv:2603.01120, confirmed by 2 papers",45.29999923706055,2025,2,active_research,,,true,,true,true,false
mat:y0.60.4ba2cu3o7,Y0.60.4Ba2Cu3O7-δ,,cuprate,,45.29999923706055,"ambient, susceptibility, arXiv:cond-mat/0308595",45.29999923706055,2003,1,active_research,d-wave,cuprate_123,true,,true,,false
mat:y0.6pr0.4ba2cu3o7,Y0.6Pr0.4Ba2Cu3O7-delta,,cuprate,,45.29999923706055,"ambient, polycrystal, muSR, arXiv:cond-mat/0201165, confirmed by 4 papers",45.29999923706055,2002,6,active_research,,cuprate_123,true,,true,true,true
mat:la2.85pr0.15ni2o7,La2.85Pr0.15Ni2O7,,nickelate,,45,"ambient, thin_film, resistivity, arXiv:2412.16622",45,2024,2,active_research,,,true,,true,true,false
mat:yba2cu3o6+0.5,YBa2Cu3O6+0.5,,cuprate,,45,"ambient, single_crystal, neutron, arXiv:cond-mat/0009373",45,2000,1,active_research,d-wave,cuprate,true,,true,,true
mat:lix(c5h5n)yfe2-zse2,Lix(C5H5N)yFe2-zSe2,,iron_based,,45,"resistivity, arXiv:1206.7022, confirmed by 3 papers",45,2012,3,active_research,,,true,,true,true,false
mat:ca1-xlaxfeas2,Ca1-xLaxFeAs2,,iron_based,,45,"single_crystal, resistivity, arXiv:1311.1303, confirmed by 2 papers",45,2013,4,active_research,,112-type,true,,true,,true
mat:rusr2(gd1.5ce0.5)cu2o10,RuSr2(Gd1.5Ce0.5)Cu2O10,,cuprate,,45,"ambient, polycrystal, resistivity, arXiv:cond-mat/0306228",45,2003,1,active_research,,,true,,true,,false
mat:lix(c2h8n2)yfe2-zse2,Lix(C2H8N2)yFe2-zSe2,,iron_based,,45,"arXiv:1311.0141, confirmed by 2 papers",45,2013,2,active_research,,,true,,true,true,false
mat:pro0.75feas,PrO0.75FeAs,,iron_based,,45,"P=6 GPa, resistivity, arXiv:0806.2379",,2008,1,active_research,,,false,,true,,false
mat:ax(c2h8n2)yfe2-zse2(a=li),Ax(C2H8N2)yFe2-zSe2(A=Li),,iron_based,,45,arXiv:1408.0346,45,2014,1,active_research,,,true,,true,true,false
mat:smo0.82f0.18feas,SmO0.82F0.18FeAs,,iron_based,,45,"polycrystal, resistivity, arXiv:0805.2415",45,2008,1,active_research,,,true,,true,,false
mat:pro0.89f0.11feas,PrO0.89F0.11FeAs,,iron_based,,45,"NMR, arXiv:0806.0249",45,2008,1,active_research,,,true,,true,,false
mat:ca1-xlaxfe2(as1-ypy)2,Ca1-xLaxFe2(As1-yPy)2,,iron_based,,45,"susceptibility, arXiv:1303.4489",45,2013,1,active_research,,,true,,true,,true
"mat:dyfeas(o,f)","DyFeAs(O,F)",,iron_based,,45,"P=11 GPa, arXiv:0806.0926",,2008,1,active_research,,,false,,true,,false
mat:tlba2cuoy,TlBa2CuOy,,cuprate,,45,"ambient, arXiv:2603.22662",45,2026,1,active_research,,Tl_1BCCO n=1,true,,,,false
mat:bc5,BC5,,,,45,arXiv:0805.3894,45,2008,1,active_research,,,true,,,,false
mat:ca0.81la0.19feas2,Ca0.81La0.19FeAs2,,iron_based,,45,"single_crystal, resistivity, arXiv:1311.1269",45,2013,1,active_research,,112-type,true,,true,,false
mat:lamgh8,LaMgH8,,hydride,,45,"P=250 GPa, arXiv:2308.15031",,2023,1,active_research,,,,,,,false
mat:sr2sc0.4ti0.6feaso3,Sr2Sc0.4Ti0.6FeAsO3,,iron_based,,45,"polycrystal, resistivity, arXiv:0903.5273",45,2009,1,active_research,,,true,,true,,false
mat:na0.80(4)(nh3)0.60fe1.86(1)se2,Na0.80(4)(NH3)0.60Fe1.86(1)Se2,,hydride,,45,arXiv:1410.6385,45,2014,1,active_research,,,true,,,,false
mat:la2-xsrxcuoy,La2-xSrxCuOy,,cuprate,,45,"ambient, arXiv:2603.22662",45,2026,1,active_research,,LSCCO n=1,true,,,,false
mat:gd4fe2as2te1-xoyf4,Gd4Fe2As2Te1-xOyF4-y,,iron_based,,45,"single_crystal, arXiv:1311.5437",,2013,1,active_research,,,,,true,,false
mat:ca1-xlaxfe2as2,Ca1-xLaxFe2As2,,iron_based,,45,"single_crystal, resistivity, arXiv:1309.4179",45,2013,1,active_research,,,true,,true,,false
mat:smfeaso0.65h0.35,SmFeAsO0.65H0.35,,iron_based,,45,"thin_film, resistivity, arXiv:2211.10256",,2022,1,active_research,,1111-type,,,true,,false
mat:yba2cu3o6.47,YBa2Cu3O6.47,,cuprate,,45,"polycrystal, susceptibility, arXiv:0806.2128",45,2008,2,active_research,,cuprate_123,true,,true,,false
